,movie,count_surprise,count_happy,count_fear,count_angry,count_sad,avg_conf_surprise,avg_conf_happy,avg_conf_fear,avg_conf_angry,avg_conf_sad,avg_rel_face_area_surprise,avg_rel_face_area_happy,avg_rel_face_area_fear,avg_rel_face_area_angry,avg_rel_face_area_sad,total_faces,angry_pct,fear_pct,happy_pct,sad_pct,surprise_pct,max_pct,dominant_emotion
49,inception,535,99,4,72,542,0.8239306097832796,0.7451293405258295,0.7068187296390533,0.6956809676355786,0.7934084088709962,0.10431319787181914,0.10967418410068226,0.19753335674157305,0.07454185956790124,0.13262837965458305,1252,5.7507987220447285,0.3194888178913738,7.907348242811501,43.29073482428115,42.73162939297125,43.29073482428115,sad
50,mad_max_fury_road,202,49,2,25,349,0.7973436736824489,0.6871620258506463,0.5316582918167114,0.6987734341621399,0.8069274463933656,0.11435884213421342,0.084064310909549,0.08268711419753086,0.09283888888888889,0.1112650894088931,627,3.9872408293460926,0.3189792663476874,7.814992025518341,55.661881977671456,32.21690590111643,55.661881977671456,sad
51,dark_knight,333,210,4,56,517,0.7662431035671864,0.7557819806394123,0.47421037405729294,0.6661581125642572,0.7830056859976549,0.08682212304897492,0.09318485449735452,0.09140625,0.07306754298941799,0.10507610084294483,1120,5.0,0.35714285714285715,18.75,46.16071428571429,29.732142857142858,46.16071428571429,sad
52,blackkklansman,452,189,7,47,293,0.7849278559463214,0.7684012325037093,0.556720427104405,0.6883297213848601,0.7095527558399956,0.08148276179941004,0.08462898146496774,0.11161383092562868,0.06274819374717774,0.09538588709505609,988,4.757085020242915,0.708502024291498,19.129554655870447,29.655870445344128,45.74898785425101,45.74898785425101,surprise
53,300,121,72,30,130,387,0.7581625120206312,0.7231866117152903,0.6669644832611084,0.7553551722031373,0.8145398109458214,0.1256848051078337,0.12972000545665371,0.11814622979332928,0.13930142371440715,0.1660498883289474,740,17.56756756756757,4.054054054054054,9.72972972972973,52.2972972972973,16.35135135135135,52.2972972972973,sad
54,hp6_half_blood_prince,347,38,7,13,287,0.8318375125742096,0.7519220607845407,0.6870429771287101,0.7691425406015836,0.7645369152366492,0.07840094327035962,0.09760355750487329,0.07110725308641976,0.0527525522317189,0.1038907574095582,692,1.8786127167630058,1.0115606936416186,5.491329479768786,41.47398843930636,50.144508670520224,50.144508670520224,surprise
55,lotr_1,324,146,12,85,709,0.8453484974157663,0.7551382086048387,0.671509233613809,0.7383287387735703,0.850658412082239,0.14115950610139466,0.15965517583079664,0.12675323109567901,0.14758030364923747,0.17030174623230415,1276,6.661442006269593,0.9404388714733543,11.442006269592477,55.56426332288401,25.391849529780565,55.56426332288401,sad
56,9,113,9,2,2,135,0.8818141912992021,0.6169828342066871,0.6885755062103271,0.5379125624895096,0.8152889249501405,0.10997752155661449,0.15566372863247863,0.3024341446314103,0.05587540064102564,0.1358388866631054,261,0.7662835249042145,0.7662835249042145,3.4482758620689653,51.724137931034484,43.29501915708812,51.724137931034484,sad
57,iron_man_2,371,68,2,70,289,0.8021718657241678,0.6994390575324788,0.5132852792739868,0.7077575990131924,0.7814658866827876,0.0871626716724425,0.1036012241435035,0.12021138583638583,0.10394846720739577,0.12028594243127112,800,8.75,0.25,8.5,36.125,46.375,46.375,surprise
58,lucky_number_slevin,333,76,0,63,419,0.8165867751962071,0.8167650295715583,0.0,0.7664572151880416,0.8220365903827057,0.10087522707893071,0.08968729694606888,0.0,0.1176884308250049,0.12415475190783476,891,7.07070707070707,0.0,8.529741863075197,47.02581369248036,37.37373737373738,47.02581369248036,sad
